cell,latitude,longitude,event,event_max_24h_mm,sample_max_24h_mm,shape_xi,location,scale,upper_bound_mm,return_period_years,bootstrap_samples,ci_low,ci_median,ci_high,bootstrap_valid,bootstrap_infinite,bootstrap_failures
target,35.5375,140.10625,2026-08-13_2026-08-15,357.5,275.1,-0.18263922963063953,129.5035113844864,45.5715321787862,379.02018023458936,671555.2244566688,2000,70.90497921056158,698.1555904408724,inf,2000,950,0
south_neighbor,35.52917,140.10625,2026-08-13_2026-08-15,302.5,272.8,-0.1403389905721782,119.6197958451201,44.23873911931087,434.8475093903327,485.45509066498613,2000,28.92459645966998,138.59190407418816,inf,2000,684,0
