station,block_no,year,max_daily_mm,raw_daily_value,daily_statistical_break,daily_usable,daily_value_classes,max_24h_mm,date,raw_value,statistical_break,usable,value_classes,ratio_24h_to_daily,strict_quality
佐倉,0916,1980,64.0,64,False,True,data_0_0,65.0,9/27 23:00,65,False,True,data_0_0,1.015625,True
佐倉,0916,1981,98.0,98,False,True,data_0_0,110.0,10/23 07:00,110,False,True,data_0_0,1.1224489795918366,True
佐倉,0916,1982,160.0,160,False,True,data_0_0,175.0,9/12 18:00,175,False,True,data_0_0,1.09375,True
佐倉,0916,1983,67.0,67 ],False,False,data_0_0,74.0,9/29 05:00,74 ],False,False,data_0_0,1.1044776119402986,False
佐倉,0916,1984,98.0,98 ],False,False,data_0_0,105.0,6/23 21:00,105 ],False,False,data_0_0,1.0714285714285714,False
佐倉,0916,1985,84.0,84,False,True,data_0_0,111.0,7/01 07:00,111,False,True,data_0_0,1.3214285714285714,True
佐倉,0916,1986,183.0,183,False,True,data_0_0,226.0,8/05 05:00,226,False,True,data_0_0,1.2349726775956285,True
佐倉,0916,1987,84.0,84,False,True,data_0_0,90.0,9/04 15:00,90,False,True,data_0_0,1.0714285714285714,True
佐倉,0916,1988,95.0,95,False,True,data_0_0,108.0,8/11 23:00,108,False,True,data_0_0,1.1368421052631579,True
佐倉,0916,1989,99.0,99,False,True,data_0_0,99.0,8/01 24:00,99,False,True,data_0_0,1.0,True
佐倉,0916,1990,86.0,86,False,True,data_0_0,87.0,11/30 23:00,87,False,True,data_0_0,1.0116279069767442,True
佐倉,0916,1991,203.0,203,False,True,data_0_0,205.0,9/19 22:00,205,False,True,data_0_0,1.0098522167487685,True
佐倉,0916,1992,80.0,80,False,True,data_0_0,90.0,10/09 20:00,90,False,True,data_0_0,1.125,True
佐倉,0916,1993,149.0,149,False,True,data_0_0,150.0,8/27 17:00,150,False,True,data_0_0,1.0067114093959733,True
佐倉,0916,1994,67.0,67,False,True,data_0_0,91.0,9/14 14:00,91,False,True,data_0_0,1.3582089552238805,True
佐倉,0916,1995,112.0,112,False,True,data_0_0,164.0,9/17 15:00,164,False,True,data_0_0,1.4642857142857142,True
佐倉,0916,1996,243.0,243,False,True,data_0_0,243.0,9/23 01:00,243,False,True,data_0_0,1.0,True
佐倉,0916,1997,69.0,69,False,True,data_0_0,92.0,5/25 10:00,92,False,True,data_0_0,1.3333333333333333,True
佐倉,0916,1998,43.0,43 ],False,False,data_0_0,47.0,5/19 09:00,47 ],False,False,data_0_0,1.0930232558139534,False
佐倉,0916,1999,140.0,140,False,True,data_0_0,151.0,7/14 03:00,151,False,True,data_0_0,1.0785714285714285,True
佐倉,0916,2000,86.0,86,False,True,data_0_0,139.0,7/08 15:00,139,False,True,data_0_0,1.6162790697674418,True
佐倉,0916,2001,209.0,209,False,True,data_0_0,209.0,10/11 04:00,209,False,True,data_0_0,1.0,True
佐倉,0916,2002,65.0,65,False,True,data_0_0,66.0,10/01 23:00,66,False,True,data_0_0,1.0153846153846153,True
佐倉,0916,2003,145.0,145,False,True,data_0_0,166.0,8/15 18:40,166,False,True,data_1t_0,1.1448275862068966,True
佐倉,0916,2004,155.0,155,False,True,data_0_0,181.0,10/09 18:40,181,False,True,data_0_0,1.167741935483871,True
佐倉,0916,2005,81.0,81,False,True,data_0_0,114.0,8/26 06:00,114,False,True,data_0_0,1.4074074074074074,True
佐倉,0916,2006,169.0,169,False,True,data_0_0,172.0,10/06 23:00,172,False,True,data_0_0,1.017751479289941,True
佐倉,0916,2007,110.0,110,False,True,data_0_0,110.0,10/28 02:00,110,False,True,data_0_0,1.0,True
佐倉,0916,2008,83.0,83.0,False,True,data_0_0,87.0,4/08 21:10,87.0,False,True,data_0_0,1.0481927710843373,True
佐倉,0916,2009,142.0,142.0,False,True,data_0_0,175.5,8/10 14:50,175.5,False,True,data_0_0,1.2359154929577465,True
佐倉,0916,2010,100.0,100.0,False,True,data_0_0,115.5,9/28 08:20,115.5,False,True,data_0_0,1.155,True
佐倉,0916,2011,129.0,129.0,False,True,data_0_0,153.0,9/21 18:50,153.0,False,True,data_0_0,1.186046511627907,True
佐倉,0916,2012,57.5,57.5,False,True,data_0_0,67.5,5/03 19:20,67.5,False,True,data_0_0,1.173913043478261,True
佐倉,0916,2013,226.5,226.5,False,True,data_0_0,301.5,10/16 14:00,301.5,False,True,data_0_0,1.3311258278145695,True
佐倉,0916,2014,94.5,94.5,False,True,data_0_0,148.0,10/06 11:20,148.0,False,True,data_0_0,1.566137566137566,True
茂原,0381,1976,89.0,89,False,True,data_0_0,94.0,6/16 20:00,94,False,True,data_0_0,1.0561797752808988,True
茂原,0381,1977,154.0,154,False,True,data_0_0,154.0,9/20 01:00,154,False,True,data_0_0,1.0,True
茂原,0381,1978,95.0,95,False,True,data_0_0,98.0,6/23 23:00,98,False,True,data_0_0,1.0315789473684212,True
茂原,0381,1979,73.0,73,False,True,data_0_0,91.0,10/19 16:00,91,False,True,data_0_0,1.2465753424657535,True
茂原,0381,1980,109.0,109,False,True,data_0_0,135.0,8/03 13:00,135,False,True,data_0_0,1.238532110091743,True
茂原,0381,1981,138.0,138,False,True,data_0_0,145.0,10/23 06:00,145,False,True,data_0_0,1.0507246376811594,True
茂原,0381,1982,91.0,91,False,True,data_0_0,107.0,9/12 17:00,107,False,True,data_0_0,1.1758241758241759,True
茂原,0381,1983,116.0,116,False,True,data_0_0,116.0,2/18 01:00,116,False,True,data_0_0,1.0,True
茂原,0381,1984,56.0,56 ],False,False,data_0_0,60.0,6/23 20:00,60 ],False,False,data_0_0,1.0714285714285714,False
茂原,0381,1985,142.0,142,False,True,data_0_0,146.0,7/01 08:00,146,False,True,data_0_0,1.028169014084507,True
茂原,0381,1986,216.0,216,False,True,data_0_0,249.0,8/05 04:00,249,False,True,data_0_0,1.1527777777777777,True
茂原,0381,1987,68.0,68,False,True,data_0_0,90.0,9/04 11:00,90,False,True,data_0_0,1.3235294117647058,True
茂原,0381,1988,108.0,108,False,True,data_0_0,127.0,8/11 22:00,127,False,True,data_0_0,1.1759259259259258,True
茂原,0381,1989,200.0,200,False,True,data_0_0,205.0,8/01 19:00,205,False,True,data_0_0,1.025,True
茂原,0381,1990,162.0,162,False,True,data_0_0,162.0,10/01 04:00,162,False,True,data_0_0,1.0,True
茂原,0381,1991,127.0,127,False,True,data_0_0,142.0,10/08 07:00,142,False,True,data_0_0,1.1181102362204725,True
茂原,0381,1992,104.0,104,False,True,data_0_0,104.0,5/31 11:00,104,False,True,data_0_0,1.0,True
茂原,0381,1993,105.0,105,False,True,data_0_0,105.0,8/28 03:00,105,False,True,data_0_0,1.0,True
茂原,0381,1994,96.0,96,False,True,data_0_0,101.0,3/24 01:00,101,False,True,data_0_0,1.0520833333333333,True
茂原,0381,1995,178.0,178,False,True,data_0_0,255.0,9/17 14:00,255,False,True,data_0_0,1.4325842696629214,True
茂原,0381,1996,236.0,236 ],False,False,data_0_0,243.0,7/10 17:00,243 ],False,False,data_0_0,1.0296610169491525,False
茂原,0381,1997,59.0,59,False,True,data_0_0,74.0,5/25 09:00,74,False,True,data_0_0,1.2542372881355932,True
茂原,0381,1998,60.0,60 ],False,False,data_0_0,60.0,10/02 03:00,60 ],False,False,data_0_0,1.0,False
茂原,0381,1999,166.0,166,False,True,data_0_0,166.0,10/28 08:00,166,False,True,data_0_0,1.0,True
茂原,0381,2000,97.0,97,False,True,data_0_0,191.0,7/08 14:00,191,False,True,data_0_0,1.9690721649484537,True
茂原,0381,2001,161.0,161,False,True,data_0_0,161.0,10/11 04:00,161,False,True,data_0_0,1.0,True
茂原,0381,2002,132.0,132,False,True,data_0_0,182.0,9/07 17:00,182,False,True,data_0_0,1.378787878787879,True
茂原,0381,2003,149.0,149,False,True,data_0_0,155.0,8/15 22:40,155,False,True,data_1t_0,1.0402684563758389,True
茂原,0381,2004,196.0,196,False,True,data_0_0,249.0,10/09 18:00,249,False,True,data_0_0,1.2704081632653061,True
茂原,0381,2005,120.0,120,False,True,data_0_0,192.0,8/26 09:50,192,False,True,data_0_0,1.6,True
茂原,0381,2006,190.0,190,False,True,data_0_0,193.0,10/06 22:40,193,False,True,data_0_0,1.0157894736842106,True
茂原,0381,2007,138.0,138,False,True,data_0_0,209.0,7/15 13:00,209,False,True,data_0_0,1.5144927536231885,True
茂原,0381,2008,88.0,88.0,False,True,data_0_0,98.5,10/24 16:00,98.5,False,True,data_0_0,1.1193181818181819,True
茂原,0381,2009,118.5,118.5,False,True,data_0_0,137.0,5/29 06:20,137.0,False,True,data_0_0,1.1561181434599157,True
茂原,0381,2010,91.0,91.0,False,True,data_0_0,158.5,10/10 08:40,158.5,False,True,data_0_0,1.7417582417582418,True
茂原,0381,2011,103.5,103.5,False,True,data_0_0,113.5,9/21 18:00,113.5,False,True,data_0_0,1.0966183574879227,True
茂原,0381,2012,97.5,97.5,False,True,data_0_0,97.5,8/07 12:10,97.5,False,True,data_0_0,1.0,True
茂原,0381,2013,146.5,146.5,False,True,data_0_0,272.0,10/16 11:10,272.0,False,True,data_0_0,1.8566552901023892,True
茂原,0381,2014,99.5,99.5,False,True,data_0_0,137.5,2/15 08:50,137.5,False,True,data_0_0,1.3819095477386936,True
牛久,1238,1978,65.0,65 ],False,False,data_0_0,66.0,6/24 06:00,66 ],False,False,data_0_0,1.0153846153846153,False
牛久,1238,1979,76.0,76 ],False,False,data_0_0,77.0,7/28 14:00,77 ],False,False,data_0_0,1.013157894736842,False
牛久,1238,1980,111.0,111,False,True,data_0_0,135.0,8/03 14:00,135 ],False,False,data_0_0,1.2162162162162162,False
牛久,1238,1981,170.0,170,False,True,data_0_0,173.0,10/23 06:00,173,False,True,data_0_0,1.0176470588235293,True
牛久,1238,1982,102.0,102,False,True,data_0_0,110.0,9/12 17:00,110,False,True,data_0_0,1.0784313725490196,True
牛久,1238,1983,104.0,104,False,True,data_0_0,105.0,2/18 01:00,105,False,True,data_0_0,1.0096153846153846,True
牛久,1238,1984,91.0,91,False,True,data_0_0,91.0,9/17 07:00,91,False,True,data_0_0,1.0,True
牛久,1238,1985,98.0,98,False,True,data_0_0,150.0,7/01 08:00,150 ],False,False,data_0_0,1.530612244897959,False
牛久,1238,1986,187.0,187,False,True,data_0_0,219.0,8/05 04:00,219,False,True,data_0_0,1.1711229946524064,True
牛久,1238,1987,61.0,61,False,True,data_0_0,98.0,9/17 14:00,98,False,True,data_0_0,1.6065573770491803,True
牛久,1238,1988,187.0,187,False,True,data_0_0,192.0,8/11 22:00,192,False,True,data_0_0,1.0267379679144386,True
牛久,1238,1989,248.0,248,False,True,data_0_0,250.0,8/01 20:00,250,False,True,data_0_0,1.0080645161290323,True
牛久,1238,1990,141.0,141,False,True,data_0_0,141.0,10/01 03:00,141,False,True,data_0_0,1.0,True
牛久,1238,1991,142.0,142,False,True,data_0_0,148.0,9/08 22:00,148,False,True,data_0_0,1.0422535211267605,True
牛久,1238,1992,117.0,117,False,True,data_0_0,123.0,6/24 14:00,123,False,True,data_0_0,1.0512820512820513,True
牛久,1238,1993,145.0,145,False,True,data_0_0,153.0,8/27 15:00,153,False,True,data_0_0,1.0551724137931036,True
牛久,1238,1994,89.0,89,False,True,data_0_0,92.0,3/24 01:00,92,False,True,data_0_0,1.0337078651685394,True
牛久,1238,1995,177.0,177,False,True,data_0_0,253.0,9/17 14:00,253,False,True,data_0_0,1.4293785310734464,True
牛久,1238,1996,321.0,321,False,True,data_0_0,321.0,9/22 24:00,321,False,True,data_0_0,1.0,True
牛久,1238,1997,64.0,64,False,True,data_0_0,92.0,5/25 09:00,92,False,True,data_0_0,1.4375,True
牛久,1238,1998,102.0,102,False,True,data_0_0,124.0,9/16 21:00,124,False,True,data_0_0,1.2156862745098038,True
牛久,1238,1999,154.0,154,False,True,data_0_0,157.0,7/14 02:00,157,False,True,data_0_0,1.0194805194805194,True
牛久,1238,2000,131.0,131,False,True,data_0_0,249.0,7/08 14:00,249,False,True,data_0_0,1.900763358778626,True
牛久,1238,2001,124.0,124,False,True,data_0_0,124.0,10/11 02:00,124,False,True,data_0_0,1.0,True
牛久,1238,2002,100.0,100,False,True,data_0_0,101.0,9/07 02:00,101 ],False,False,data_0_0,1.01,False
牛久,1238,2003,169.0,169,False,True,data_0_0,181.0,8/15 21:50,181,False,True,data_1t_0,1.0710059171597632,True
牛久,1238,2004,162.0,162,False,True,data_0_0,209.0,10/09 17:30,209,False,True,data_0_0,1.2901234567901234,True
牛久,1238,2005,97.0,97,False,True,data_0_0,153.0,8/26 06:40,153,False,True,data_0_0,1.577319587628866,True
牛久,1238,2006,186.0,186,False,True,data_0_0,190.0,10/06 22:50,190,False,True,data_0_0,1.021505376344086,True
牛久,1238,2007,136.0,136,False,True,data_0_0,158.0,7/15 12:50,158,False,True,data_0_0,1.161764705882353,True
牛久,1238,2008,103.5,103.5,False,True,data_0_0,106.0,4/08 19:20,106.0,False,True,data_0_0,1.0241545893719808,True
牛久,1238,2009,187.5,187.5,False,True,data_0_0,187.5,8/11 00:20,187.5,False,True,data_0_0,1.0,True
牛久,1238,2010,100.5,100.5,False,True,data_0_0,161.5,10/10 12:30,161.5,False,True,data_0_0,1.6069651741293531,True
牛久,1238,2011,109.5,109.5,False,True,data_0_0,131.5,9/21 18:10,131.5,False,True,data_0_0,1.2009132420091324,True
牛久,1238,2012,69.0,69.0,False,True,data_0_0,73.5,5/03 14:00,73.5,False,True,data_0_0,1.065217391304348,True
牛久,1238,2013,178.0,178.0,False,True,data_0_0,279.5,10/16 13:30,279.5,False,True,data_0_0,1.5702247191011236,True
牛久,1238,2014,111.0,111.0,False,True,data_0_0,144.0,10/06 09:30,144.0 ],False,False,data_0_0,1.2972972972972974,False
