station,block_no,year,max_24h_mm,date,raw_value,statistical_break,usable,value_classes,row_classes,row_html
香取,0375,1986,232.0,8/05 08:00,232,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1986&amp;month=&amp;day=&amp;view=a5"">1986</a></div></td><td class=""data_0_0"">31</td><td class=""data_0_0""> 9/13 21:00</td><td class=""data_0_0"">64</td><td class=""data_0_0""> 8/04 18:00</td><td class=""data_0_0"">100</td><td class=""data_0_0""> 8/04 18:00</td><td class=""data_0_0"">172</td><td class=""data_0_0""> 8/04 24:00</td><td class=""data_0_0"">232</td><td class=""data_0_0""> 8/05 08:00</td><td class=""data_0_0"">233</td><td class=""data_0_0""> 8/06 03:00</td><td class=""data_0_0"">233</td><td class=""data_0_0""> 8/07 03:00</td></tr>"
香取,0375,1987,90.0,9/05 05:00,90,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1987&amp;month=&amp;day=&amp;view=a5"">1987</a></div></td><td class=""data_0_0"">34</td><td class=""data_0_0""> 9/05 04:00</td><td class=""data_0_0"">45</td><td class=""data_0_0""> 9/05 04:00</td><td class=""data_0_0"">52</td><td class=""data_0_0""> 9/05 07:00</td><td class=""data_0_0"">55</td><td class=""data_0_0""> 9/05 09:00</td><td class=""data_0_0"">90</td><td class=""data_0_0""> 9/05 05:00</td><td class=""data_0_0"">124</td><td class=""data_0_0""> 9/05 11:00</td><td class=""data_0_0"">124</td><td class=""data_0_0""> 9/06 11:00</td></tr>"
香取,0375,1988,121.0,8/11 21:00,121,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1988&amp;month=&amp;day=&amp;view=a5"">1988</a></div></td><td class=""data_0_0"">22</td><td class=""data_0_0""> 9/20 20:00</td><td class=""data_0_0"">34</td><td class=""data_0_0""> 8/11 08:00</td><td class=""data_0_0"">55</td><td class=""data_0_0""> 8/11 10:00</td><td class=""data_0_0"">81</td><td class=""data_0_0""> 8/11 09:00</td><td class=""data_0_0"">121</td><td class=""data_0_0""> 8/11 21:00</td><td class=""data_0_0"">159</td><td class=""data_0_0""> 8/12 16:00</td><td class=""data_0_0"">164</td><td class=""data_0_0""> 8/13 06:00</td></tr>"
香取,0375,1989,171.0,8/01 24:00,171,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1989&amp;month=&amp;day=&amp;view=a5"">1989</a></div></td><td class=""data_0_0"">33</td><td class=""data_0_0""> 8/01 19:00</td><td class=""data_0_0"">62</td><td class=""data_0_0""> 8/01 20:00</td><td class=""data_0_0"">74</td><td class=""data_0_0""> 8/01 20:00</td><td class=""data_0_0"">131</td><td class=""data_0_0""> 8/01 20:00</td><td class=""data_0_0"">171</td><td class=""data_0_0""> 8/01 24:00</td><td class=""data_0_0"">173</td><td class=""data_0_0""> 8/02 21:00</td><td class=""data_0_0"">176</td><td class=""data_0_0""> 8/02 05:00</td></tr>"
香取,0375,1990,92.0,12/01 02:00,92,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1990&amp;month=&amp;day=&amp;view=a5"">1990</a></div></td><td class=""data_0_0"">29</td><td class=""data_0_0""> 9/17 12:00</td><td class=""data_0_0"">34</td><td class=""data_0_0"">10/08 07:00</td><td class=""data_0_0"">54</td><td class=""data_0_0"">10/08 10:00</td><td class=""data_0_0"">80</td><td class=""data_0_0"">11/30 22:00</td><td class=""data_0_0"">92</td><td class=""data_0_0"">12/01 02:00</td><td class=""data_0_0"">114</td><td class=""data_0_0"">11/30 22:00</td><td class=""data_0_0"">142</td><td class=""data_0_0"">12/01 01:00</td></tr>"
香取,0375,1991,232.0,9/08 24:00,232,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1991&amp;month=&amp;day=&amp;view=a5"">1991</a></div></td><td class=""data_0_0"">82</td><td class=""data_0_0""> 9/08 11:00</td><td class=""data_0_0"">145</td><td class=""data_0_0""> 9/08 11:00</td><td class=""data_0_0"">179</td><td class=""data_0_0""> 9/08 13:00</td><td class=""data_0_0"">230</td><td class=""data_0_0""> 9/08 14:00</td><td class=""data_0_0"">232</td><td class=""data_0_0""> 9/08 24:00</td><td class=""data_0_0"">244</td><td class=""data_0_0""> 9/09 24:00</td><td class=""data_0_0"">244</td><td class=""data_0_0""> 9/11 02:00</td></tr>"
香取,0375,1992,80.0,10/09 20:00,80 ],False,False,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1992&amp;month=&amp;day=&amp;view=a5"">1992</a></div></td><td class=""data_0_0"">16</td><td class=""data_0_0""> 7/14 22:00</td><td class=""data_0_0"">35</td><td class=""data_0_0"">10/09 05:00</td><td class=""data_0_0"">58</td><td class=""data_0_0"">10/09 08:00</td><td class=""data_0_0"">80 ]</td><td class=""data_0_0"">10/09 08:00</td><td class=""data_0_0"">80 ]</td><td class=""data_0_0"">10/09 20:00</td><td class=""data_0_0"">80 ]</td><td class=""data_0_0"">10/10 20:00</td><td class=""data_0_0"">80 ]</td><td class=""data_0_0"">10/11 20:00</td></tr>"
香取,0375,1993,129.0,8/27 16:00,129,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1993&amp;month=&amp;day=&amp;view=a5"">1993</a></div></td><td class=""data_0_0"">37</td><td class=""data_0_0"">11/14 02:00</td><td class=""data_0_0"">69</td><td class=""data_0_0"">11/14 02:00</td><td class=""data_0_0"">95</td><td class=""data_0_0"">11/14 03:00</td><td class=""data_0_0"">116</td><td class=""data_0_0""> 8/27 18:00</td><td class=""data_0_0"">129</td><td class=""data_0_0""> 8/27 16:00</td><td class=""data_0_0"">143</td><td class=""data_0_0""> 8/28 12:00</td><td class=""data_0_0"">143</td><td class=""data_0_0""> 8/29 12:00</td></tr>"
香取,0375,1994,92.0,9/29 15:00,92,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1994&amp;month=&amp;day=&amp;view=a5"">1994</a></div></td><td class=""data_0_0"">48</td><td class=""data_0_0""> 9/01 17:00</td><td class=""data_0_0"">57</td><td class=""data_0_0""> 9/01 19:00</td><td class=""data_0_0"">57</td><td class=""data_0_0""> 9/01 22:00</td><td class=""data_0_0"">60</td><td class=""data_0_0""> 9/29 13:00</td><td class=""data_0_0"">92</td><td class=""data_0_0""> 9/29 15:00</td><td class=""data_0_0"">106</td><td class=""data_0_0""> 9/30 10:00</td><td class=""data_0_0"">108</td><td class=""data_0_0""> 9/29 21:00</td></tr>"
香取,0375,1995,201.0,9/17 15:00,201 ],False,False,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1995&amp;month=&amp;day=&amp;view=a5"">1995</a></div></td><td class=""data_0_0"">21 ]</td><td class=""data_0_0""> 5/12 20:00</td><td class=""data_0_0"">43 ]</td><td class=""data_0_0""> 9/17 04:00</td><td class=""data_0_0"">71 ]</td><td class=""data_0_0""> 9/17 07:00</td><td class=""data_0_0"">133 ]</td><td class=""data_0_0""> 9/17 12:00</td><td class=""data_0_0"">201 ]</td><td class=""data_0_0""> 9/17 15:00</td><td class=""data_0_0"">240 ]</td><td class=""data_0_0""> 9/18 05:00</td><td class=""data_0_0"">252 ]</td><td class=""data_0_0""> 9/18 07:00</td></tr>"
香取,0375,1996,224.0,9/23 01:00,224,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1996&amp;month=&amp;day=&amp;view=a5"">1996</a></div></td><td class=""data_0_0"">30</td><td class=""data_0_0""> 9/22 12:00</td><td class=""data_0_0"">79</td><td class=""data_0_0""> 9/22 13:00</td><td class=""data_0_0"">144</td><td class=""data_0_0""> 9/22 15:00</td><td class=""data_0_0"">210</td><td class=""data_0_0""> 9/22 17:00</td><td class=""data_0_0"">224</td><td class=""data_0_0""> 9/23 01:00</td><td class=""data_0_0"">226</td><td class=""data_0_0""> 9/22 22:00</td><td class=""data_0_0"">226</td><td class=""data_0_0""> 9/23 22:00</td></tr>"
香取,0375,1997,75.0,5/25 09:00,75,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1997&amp;month=&amp;day=&amp;view=a5"">1997</a></div></td><td class=""data_0_0"">19</td><td class=""data_0_0""> 5/25 04:00</td><td class=""data_0_0"">35</td><td class=""data_0_0""> 5/25 04:00</td><td class=""data_0_0"">45</td><td class=""data_0_0""> 5/25 05:00</td><td class=""data_0_0"">61</td><td class=""data_0_0""> 6/20 17:00</td><td class=""data_0_0"">75</td><td class=""data_0_0""> 5/25 09:00</td><td class=""data_0_0"">81</td><td class=""data_0_0""> 5/26 01:00</td><td class=""data_0_0"">85</td><td class=""data_0_0""> 5/25 05:00</td></tr>"
