station,block_no,analysis_variant,start_year,end_year,n_years,event_daily_day,event_daily_mm,event_24h_mm,event_24h_to_daily_ratio,annual_ratio_median_pre2003,annual_ratio_median_post2003,annual_ratio_median,rp_24h_matched,rp_daily_mismatched,rp_daily_matched,mismatch_inflation,bootstrap_valid,bootstrap_failures,annual_ratio_median_ci_low,annual_ratio_median_ci_high,rp_24h_matched_ci_low,rp_24h_matched_ci_high,rp_daily_mismatched_ci_low,rp_daily_mismatched_ci_high,rp_daily_matched_ci_low,rp_daily_matched_ci_high,mismatch_inflation_ci_low,mismatch_inflation_ci_high
千葉,47682,all_numeric,1976,2014,39,13,351.0,367.0,1.0455840455840455,1.0810810810810811,1.1392160328788918,1.0863509749303621,298.6021279805594,436.44535922195416,324.15927120149064,1.461628429018996,2000,0,1.062240663900415,1.1197604790419162,61.50650514264668,inf,111.84212492141751,inf,93.03200911840815,inf,0.0,22.621651511487887
千葉,47682,strict_quality,1976,2014,37,13,351.0,367.0,1.0455840455840455,1.0810810810810811,1.1392160328788918,1.0863509749303621,375.96761305112983,508.53529586144566,366.87883140468,1.352603996217853,2000,0,1.062240663900415,1.1197604790419162,62.18077113298476,inf,106.82594496394509,inf,88.21289150704442,inf,0.0,94.37030204730948
佐倉,0916,all_numeric,1976,2014,39,13,239.0,274.5,1.1485355648535565,1.0714285714285714,1.170827489481066,1.09375,39.369891778676404,61.20845019764493,32.37817594385783,1.554702018022736,2000,0,1.054945054945055,1.155,18.451187222257317,1244.9729816641338,33.214978665159336,481.1247257003334,18.502791373459278,138.6293308440904,0.20962753835716263,3.2033457974490926
佐倉,0916,strict_quality,1976,2014,36,13,239.0,274.5,1.1485355648535565,1.0660173160173159,1.170827489481066,1.1080994897959182,36.83479254599187,56.62512685604245,29.897988962017806,1.537272859222443,2000,0,1.0465838509316772,1.167741935483871,17.28398825640401,2084.6598654777713,31.970823982535716,484.08858801593703,17.20277671250594,125.98184617222641,0.12633730053154277,3.678449148031997
茂原,0381,all_numeric,1976,2014,39,13,240.0,247.5,1.03125,1.0520833333333333,1.213263153362611,1.0966183574879227,16.493564467448987,58.708170167242045,46.919907179249385,3.5594592232083033,2000,0,1.0315789473684212,1.1759259259259258,9.374527391086298,64.06453062821969,27.682390012096945,6885.936737181321,23.04076868917914,2140.8059576958362,1.442809015281656,232.4908842407785
茂原,0381,strict_quality,1976,2014,36,13,240.0,247.5,1.03125,1.0541315543071161,1.213263153362611,1.1187142090193272,17.782170357409353,92.24062334303365,71.33171720234202,5.187253382970738,2000,0,1.0402684563758389,1.2425537262787483,9.678312725055866,94.1338549912003,42.317062460399164,inf,34.716050910500876,222710.98030539867,1.6954930846893124,inf
牛久,1238,all_numeric,1978,2014,37,13,223.5,233.0,1.0425055928411633,1.0337078651685394,1.1813389739457427,1.0551724137931036,9.398634084187858,19.158083472237816,15.677246123576271,2.0383901852790642,2000,0,1.021505376344086,1.2009132420091324,5.387360700955021,28.14509210509031,9.169094692093113,463.1026432895737,7.958236251878567,161.4337128979765,1.2366901323427884,33.622348182740275
牛久,1238,strict_quality,1981,2013,31,13,223.5,233.0,1.0425055928411633,1.03798069314765,1.161764705882353,1.0551724137931036,7.804865612647368,15.850318837883234,12.76477062107902,2.030825336979363,2000,0,1.0241545893719808,1.1711229946524064,4.518853834010943,21.617988366811243,7.649099705913661,inf,6.540623343012215,inf,1.227080725367447,inf
